Merit Score,Domicile,Programme
73,Bahawalpur,BSc (Hons) Agriculture
83,Bahawalpur,BSc (Hons) Agriculture
51,Bahawalpur,BSc (Hons) Agriculture
59,Bahawalpur,BSc (Hons) Agriculture
70,Bahawalpur,BSc (Hons) Agriculture
66,Bahawalpur,BSc (Hons) Agriculture
73,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
71,Bahawalpur,BSc (Hons) Agriculture
74,Bahawalpur,BSc (Hons) Agriculture
67,Bahawalpur,BSc (Hons) Agriculture
67,Bahawalpur,BSc (Hons) Agriculture
76,Bahawalpur,BSc (Hons) Agriculture
65,Bahawalpur,BSc (Hons) Agriculture
88,Bahawalpur,BSc (Hons) Agriculture
66,Bahawalpur,BSc (Hons) Agriculture
54,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
63,Bahawalpur,BSc (Hons) Agriculture
78,Bahawalpur,BSc (Hons) Agriculture
70,Bahawalpur,BSc (Hons) Agriculture
80,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
67,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
54,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
74,Bahawalpur,BSc (Hons) Agriculture
65,Bahawalpur,BSc (Hons) Agriculture
85,OPEN,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
59,Bahawalpur,BSc (Hons) Agriculture
86,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
82,Bahawalpur,BSc (Hons) Agriculture
67,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
80,Bahawalpur,BSc (Hons) Agriculture
81,Bahawalpur,BSc (Hons) Agriculture
65,Bahawalpur,BSc (Hons) Agriculture
83,Bahawalpur,BSc (Hons) Agriculture
79,Bahawalpur,BSc (Hons) Agriculture
49,Bahawalpur,BSc (Hons) Agriculture
52,Bahawalpur,BSc (Hons) Agriculture
78,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
63,Bahawalpur,BSc (Hons) Agriculture
70,Bahawalpur,BSc (Hons) Agriculture
65,Bahawalpur,BSc (Hons) Agriculture
68,Bahawalpur,BSc (Hons) Agriculture
54,Bahawalpur,BSc (Hons) Agriculture
68,Bahawalpur,BSc (Hons) Agriculture
75,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
82,OPEN,BSc (Hons) Agriculture
51,Bahawalpur,BSc (Hons) Agriculture
82,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
57,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
68,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
84,Bahawalpur,BSc (Hons) Agriculture
76,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
64,Bahawalpur,BSc (Hons) Agriculture
73,Bahawalpur,BSc (Hons) Agriculture
79,Bahawalpur,BSc (Hons) Agriculture
57,Bahawalpur,BSc (Hons) Agriculture
61,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
71,Bahawalpur,BSc (Hons) Agriculture
74,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
71,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
78,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
75,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
73,Bahawalpur,BSc (Hons) Agriculture
84,Bahawalpur,BSc (Hons) Agriculture
72,Bahawalpur,BSc (Hons) Agriculture
54,Bahawalpur,BSc (Hons) Agriculture
80,Bahawalpur,BSc (Hons) Agriculture
57,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
53,Bahawalpur,BSc (Hons) Agriculture
69,Bahawalpur,BSc (Hons) Agriculture
82,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
83,Bahawalpur,BSc (Hons) Agriculture
78,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
84,Bahawalpur,BSc (Hons) Agriculture
79,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
61,Bahawalpur,BSc (Hons) Agriculture
68,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
56,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
57,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
66,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
59,Bahawalpur,BSc (Hons) Agriculture
53,Bahawalpur,BSc (Hons) Agriculture
66,Bahawalpur,BSc (Hons) Agriculture
79,Bahawalpur,BSc (Hons) Agriculture
78,Bahawalpur,BSc (Hons) Agriculture
69,Bahawalpur,BSc (Hons) Agriculture
55,Bahawalpur,BSc (Hons) Agriculture
59,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
63,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
65,Bahawalpur,BSc (Hons) Agriculture
66,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
58,Bahawalpur,BSc (Hons) Agriculture
62,Bahawalpur,BSc (Hons) Agriculture
79,Bahawalpur,BSc (Hons) Agriculture
78,Bahawalpur,BSc (Hons) Agriculture
61,Bahawalpur,BSc (Hons) Agriculture
73,Bahawalpur,BSc (Hons) Agriculture
60,Bahawalpur,BSc (Hons) Agriculture
80,OPEN,BSc (Hons) Agriculture
57,OPEN,BSc (Hons) Agriculture
66,OPEN,BSc (Hons) Agriculture
62,OPEN,BSc (Hons) Agriculture
59,Bahawalpur,BSc (Hons) Agriculture
78,OPEN,BSc (Hons) Agriculture
65,OPEN,BSc (Hons) Agriculture
72,OPEN,BSc (Hons) Agriculture
82,OPEN,BSc (Hons) Agriculture
68,Bahawalpur,BSc (Hons) Agriculture
87,OPEN,BSc (Hons) Agriculture
64,OPEN,BSc (Hons) Agriculture
64,OPEN,BSc (Hons) Agriculture
74,OPEN,BSc (Hons) Agriculture
77,OPEN,BSc (Hons) Agriculture
70,Bahawalpur,BSc (Hons) Agriculture
67,OPEN,BSc (Hons) Agriculture
70,OPEN,BSc (Hons) Agriculture
68,OPEN,BSc (Hons) Agriculture
75,OPEN,BSc (Hons) Agriculture
65,OPEN,BSc (Hons) Agriculture
81,OPEN,BSc (Hons) Agriculture
80,OPEN,BSc (Hons) Agriculture
82,OPEN,BSc (Hons) Agriculture
87,OPEN,BSc (Hons) Agriculture
82,OPEN,BSc (Hons) Agriculture
77,OPEN,BSc (Hons) Agriculture
65,OPEN,BSc (Hons) Agriculture
66,OPEN,BSc (Hons) Agriculture
75,OPEN,BSc (Hons) Agriculture
67,OPEN,BSc (Hons) Agriculture
72,OPEN,BSc (Hons) Agriculture
76,OPEN,BSc (Hons) Agriculture
69,OPEN,BSc (Hons) Agriculture
69,OPEN,BSc (Hons) Agriculture
72,OPEN,BSc (Hons) Agriculture
67,OPEN,BSc (Hons) Agriculture
63,OPEN,BSc (Hons) Agriculture
70,OPEN,BSc (Hons) Agriculture
80,OPEN,BSc (Hons) Agriculture
79,OPEN,BSc (Hons) Agriculture
63,OPEN,BSc (Hons) Agriculture
66,OPEN,BSc (Hons) Agriculture
68,OPEN,BSc (Hons) Agriculture
84,OPEN,BSc (Hons) Agriculture
76,OPEN,BSc (Hons) Agriculture
68,OPEN,BSc (Hons) Agriculture
64,OPEN,BSc (Hons) Agriculture
82,OPEN,BSc (Hons) Agriculture
87,OPEN,BSc (Hons) Agriculture
72,OPEN,BSc (Hons) Agriculture
70,OPEN,BSc (Hons) Agriculture
66,OPEN,BSc (Hons) Agriculture
62,OPEN,BSc (Hons) Agriculture
61,OPEN,BSc (Hons) Agriculture
75,Bahawalpur,BS Statistics 
54,Bahawalpur,BS Statistics 
69,Bahawalpur,BS Statistics 
52,Bahawalpur,BS Statistics 
58,Bahawalpur,BS Statistics 
62,Bahawalpur,BS Statistics 
46,Bahawalpur,BS Statistics 
52,Bahawalpur,BS Statistics 
56,Bahawalpur,BS Statistics 
68,Bahawalpur,BS Statistics 
60,Bahawalpur,BS Statistics 
61,Bahawalpur,BS Statistics 
73,Bahawalpur,BS Statistics 
67,Bahawalpur,BS Statistics 
46,Bahawalpur,BS Statistics 
54,Bahawalpur,BS Statistics 
58,Bahawalpur,BS Statistics 
58,Bahawalpur,BS Statistics 
63,Bahawalpur,BS Statistics 
59,Bahawalpur,BS Statistics 
48,Bahawalpur,BS Statistics 
62,OPEN,BS Statistics 
62,OPEN,BS Statistics 
69,OPEN,BS Statistics 
60,OPEN,BS Statistics 
55,OPEN,BS Statistics 
53,OPEN,BS Statistics 
54,OPEN,BS Statistics 
57,OPEN,BS Statistics 
68,OPEN,BS Statistics 
61,OPEN,BS Statistics 
77,OPEN,BS Physics
71,OPEN,BS Physics
79,Bahawalpur,BS Physics
81,Bahawalpur,BS Physics
81,Bahawalpur,BS Physics
83,Bahawalpur,BS Physics
82,Bahawalpur,BS Physics
87,Bahawalpur,BS Physics
50,Bahawalpur,BS Physics
86,Bahawalpur,BS Physics
76,Bahawalpur,BS Physics
79,Bahawalpur,BS Physics
85,Bahawalpur,BS Physics
79,Bahawalpur,BS Physics
78,Bahawalpur,BS Physics
76,Bahawalpur,BS Physics
78,Bahawalpur,BS Physics
79,Bahawalpur,BS Physics
78,Bahawalpur,BS Physics
78,Bahawalpur,BS Physics
86,Bahawalpur,BS Physics
80,Bahawalpur,BS Physics
78,Bahawalpur,BS Physics
82,Bahawalpur,BS Physics
78,Bahawalpur,BS Physics
81,Bahawalpur,BS Physics
86,Bahawalpur,BS Physics
80,Bahawalpur,BS Physics
82,Bahawalpur,BS Physics
59,OPEN,BS Physics
80,OPEN,BS Physics
78,OPEN,BS Physics
60,OPEN,BS Physics
54,Bahawalpur,BS Geography
46,Bahawalpur,BS Geography
57,Bahawalpur,BS Geography
63,Bahawalpur,BS Geography
65,OPEN,BS Geography
71,OPEN,BS Chemistry (E)
70,OPEN,BS Chemistry (E)
87,Bahawalpur,BS Chemistry (E)
90,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
90,Bahawalpur,BS Chemistry (E)
86,Bahawalpur,BS Chemistry (E)
87,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
86,Bahawalpur,BS Chemistry (E)
90,Bahawalpur,BS Chemistry (E)
72,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
87,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
87,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
87,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
88,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
89,Bahawalpur,BS Chemistry (E)
88,OPEN,BS Chemistry (E)
90,OPEN,BS Chemistry (E)
87,OPEN,BS Chemistry (E)
69,OPEN,BS Chemistry (E)
84,Bahawalpur,BS Chemistry (E)
90,OPEN,BS Chemistry (E)
91,OPEN,BS Chemistry (E)
89,OPEN,BS Chemistry (E)
89,OPEN,BS Chemistry (E)
87,OPEN,BS Chemistry (E)
90,OPEN,BS Chemistry (E)
83,Bahawalpur,BS Chemistry (E)
74,OPEN,BS Chemistry (E)
80,OPEN,BS Chemistry (E)
